"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, letno"

"Moški"
" ";"Pomurska"
" ";" ";"0-4 let"
" ";" ";" ";"2010";12920
" ";" ";" ";"2011";12506
" ";" ";" ";"2012";12308
" ";" ";" ";"2013";12267
" ";" ";" ";"2014";12232
" ";" ";"45-49 let"
" ";" ";" ";"2010";12906
" ";" ";" ";"2011";12923
" ";" ";" ";"2012";12967
" ";" ";" ";"2013";12826
" ";" ";" ";"2014";12802
" ";" ";"50-54 let"
" ";" ";" ";"2010";12876
" ";" ";" ";"2011";12748
" ";" ";" ";"2012";12583
" ";" ";" ";"2013";12647
" ";" ";" ";"2014";12678
" ";" ";"55-59 let"
" ";" ";" ";"2010";12403
" ";" ";" ";"2011";12426
" ";" ";" ";"2012";12671
" ";" ";" ";"2013";12596
" ";" ";" ";"2014";12452
" ";" ";"60-64 let"
" ";" ";" ";"2010";8782
" ";" ";" ";"2011";9717
" ";" ";" ";"2012";10374
" ";" ";" ";"2013";10790
" ";" ";" ";"2014";11219
" ";" ";"65-69 let"
" ";" ";" ";"2010";8204
" ";" ";" ";"2011";7980
" ";" ";" ";"2012";7923
" ";" ";" ";"2013";7822
" ";" ";" ";"2014";7728
" ";" ";"70-74 let"
" ";" ";" ";"2010";6123
" ";" ";" ";"2011";6191
" ";" ";" ";"2012";6176
" ";" ";" ";"2013";6523
" ";" ";" ";"2014";7010
" ";" ";"75-79 let"
" ";" ";" ";"2010";4211
" ";" ";" ";"2011";4394
" ";" ";" ";"2012";4656
" ";" ";" ";"2013";4768
" ";" ";" ";"2014";4771
" ";" ";"80-84 let"
" ";" ";" ";"2010";2286
" ";" ";" ";"2011";2420
" ";" ";" ";"2012";2521
" ";" ";" ";"2013";2646
" ";" ";" ";"2014";2769
" ";" ";"85-89 let"
" ";" ";" ";"2010";861
" ";" ";" ";"2011";921
" ";" ";" ";"2012";985
" ";" ";" ";"2013";1082
" ";" ";" ";"2014";1158
" ";" ";"90-94 let"
" ";" ";" ";"2010";140
" ";" ";" ";"2011";178
" ";" ";" ";"2012";209
" ";" ";" ";"2013";251
" ";" ";" ";"2014";280
" ";" ";"95-99 let"
" ";" ";" ";"2010";42
" ";" ";" ";"2011";31
" ";" ";" ";"2012";27
" ";" ";" ";"2013";25
" ";" ";" ";"2014";22
" ";" ";"100 + let"
" ";" ";" ";"2010";8
" ";" ";" ";"2011";7
" ";" ";" ";"2012";7
" ";" ";" ";"2013";6
" ";" ";" ";"2014";6
" ";"Koroška"
" ";" ";"0-4 let"
" ";" ";" ";"2010";1796
" ";" ";" ";"2011";1821
" ";" ";" ";"2012";1844
" ";" ";" ";"2013";1859
" ";" ";" ";"2014";1799
" ";" ";"5-9 let"
" ";" ";" ";"2010";1649
" ";" ";" ";"2011";1606
" ";" ";" ";"2012";1620
" ";" ";" ";"2013";1627
" ";" ";" ";"2014";1727
" ";" ";"10-14 let"
" ";" ";" ";"2010";1799
" ";" ";" ";"2011";1808
" ";" ";" ";"2012";1754
" ";" ";" ";"2013";1724
" ";" ";" ";"2014";1632
" ";" ";"15-19 let"
" ";" ";" ";"2010";2007
" ";" ";" ";"2011";1937
" ";" ";" ";"2012";1881
" ";" ";" ";"2013";1832
" ";" ";" ";"2014";1769
" ";" ";"20-24 let"
" ";" ";" ";"2010";2363
" ";" ";" ";"2011";2182
" ";" ";" ";"2012";2081
" ";" ";" ";"2013";1965
" ";" ";" ";"2014";1791
" ";" ";"25-29 let"
" ";" ";" ";"2010";2762
" ";" ";" ";"2011";2739
" ";" ";" ";"2012";2634
" ";" ";" ";"2013";2588
" ";" ";" ";"2014";2519
" ";" ";"30-34 let"
" ";" ";" ";"2010";2890
" ";" ";" ";"2011";2879
" ";" ";" ";"2012";2859
" ";" ";" ";"2013";2783
" ";" ";" ";"2014";2700
" ";" ";"35-39 let"
" ";" ";" ";"2010";2665
" ";" ";" ";"2011";2687
" ";" ";" ";"2012";2696
" ";" ";" ";"2013";2735
" ";" ";" ";"2014";2765
" ";" ";"40-44 let"
" ";" ";" ";"2010";2799
" ";" ";" ";"2011";2689
" ";" ";" ";"2012";2637
" ";" ";" ";"2013";2600
" ";" ";" ";"2014";2580
" ";" ";"45-49 let"
" ";" ";" ";"2010";2998
" ";" ";" ";"2011";2987
" ";" ";" ";"2012";2998
" ";" ";" ";"2013";2955
" ";" ";" ";"2014";2926
" ";" ";"50-54 let"
" ";" ";" ";"2010";3235
" ";" ";" ";"2011";3116
" ";" ";" ";"2012";3011
" ";" ";" ";"2013";2956
" ";" ";" ";"2014";2887
" ";" ";"55-59 let"
" ";" ";" ";"2010";2875
" ";" ";" ";"2011";2970
" ";" ";" ";"2012";3098
" ";" ";" ";"2013";3137
" ";" ";" ";"2014";3094
" ";" ";"60-64 let"
" ";" ";" ";"2010";1991
" ";" ";" ";"2011";2196
" ";" ";" ";"2012";2327
" ";" ";" ";"2013";2422
" ";" ";" ";"2014";2583
" ";" ";"65-69 let"
" ";" ";" ";"2010";1723
" ";" ";" ";"2011";1648
" ";" ";" ";"2012";1620
" ";" ";" ";"2013";1701
" ";" ";" ";"2014";1721
" ";" ";"70-74 let"
