"","1991","2000","2009","2010"
"Živorojeni",21583,18180,21856,22343
"Umrli",19324,18588,18750,18609
"Naravni prirast",2259,-408,3106,3734
"Naravni prirast na 1000 prebivalcev",1.1,-0.2,1.5,1.8
