"STAROST";"SPOL";"LETO";Umrli
"83 let";"Ženske";"2011";383
"83 let";"Ženske";"2012";459
"83 let";"Ženske";"2013";418
"83 let";"Ženske";"2014";406
"84 let";"Moški";"2010";222
"84 let";"Moški";"2011";229
"84 let";"Moški";"2012";268
"84 let";"Moški";"2013";312
"84 let";"Moški";"2014";312
"84 let";"Ženske";"2010";460
"84 let";"Ženske";"2011";441
"84 let";"Ženske";"2012";461
"84 let";"Ženske";"2013";453
"84 let";"Ženske";"2014";452
"85 let";"Moški";"2010";218
"85 let";"Moški";"2011";209
"85 let";"Moški";"2012";253
"85 let";"Moški";"2013";250
"85 let";"Moški";"2014";321
"85 let";"Ženske";"2010";479
"85 let";"Ženske";"2011";440
"85 let";"Ženske";"2012";473
"85 let";"Ženske";"2013";453
"85 let";"Ženske";"2014";447
"86 let";"Moški";"2010";229
"86 let";"Moški";"2011";218
"86 let";"Moški";"2012";231
"86 let";"Moški";"2013";237
"86 let";"Moški";"2014";243
"86 let";"Ženske";"2010";457
"86 let";"Ženske";"2011";471
"86 let";"Ženske";"2012";474
"86 let";"Ženske";"2013";500
"86 let";"Ženske";"2014";444
"87 let";"Moški";"2010";183
"87 let";"Moški";"2011";193
"87 let";"Moški";"2012";212
"87 let";"Moški";"2013";206
"87 let";"Moški";"2014";263
"87 let";"Ženske";"2010";462
"87 let";"Ženske";"2011";507
"87 let";"Ženske";"2012";490
"87 let";"Ženske";"2013";453
"87 let";"Ženske";"2014";491
"88 let";"Moški";"2010";147
"88 let";"Moški";"2011";175
"88 let";"Moški";"2012";185
"88 let";"Moški";"2013";184
"88 let";"Moški";"2014";183
"88 let";"Ženske";"2010";416
"88 let";"Ženske";"2011";457
"88 let";"Ženske";"2012";452
"88 let";"Ženske";"2013";475
"88 let";"Ženske";"2014";527
"89 let";"Moški";"2010";123
"89 let";"Moški";"2011";147
"89 let";"Moški";"2012";153
"89 let";"Moški";"2013";161
"89 let";"Moški";"2014";157
"89 let";"Ženske";"2010";384
"89 let";"Ženske";"2011";445
"89 let";"Ženske";"2012";415
"89 let";"Ženske";"2013";456
"89 let";"Ženske";"2014";472
"90 let";"Moški";"2010";126
"90 let";"Moški";"2011";117
"90 let";"Moški";"2012";133
"90 let";"Moški";"2013";142
"90 let";"Moški";"2014";143
"90 let";"Ženske";"2010";304
"90 let";"Ženske";"2011";333
"90 let";"Ženske";"2012";418
"90 let";"Ženske";"2013";396
"90 let";"Ženske";"2014";419
"91 let";"Moški";"2010";69
"91 let";"Moški";"2011";106
"91 let";"Moški";"2012";108
"91 let";"Moški";"2013";130
"91 let";"Moški";"2014";135
"91 let";"Ženske";"2010";181
"91 let";"Ženske";"2011";315
"91 let";"Ženske";"2012";331
"91 let";"Ženske";"2013";399
"91 let";"Ženske";"2014";367
"92 let";"Moški";"2010";39
"92 let";"Moški";"2011";63
"92 let";"Moški";"2012";83
"92 let";"Moški";"2013";98
"92 let";"Moški";"2014";105
"92 let";"Ženske";"2010";148
"92 let";"Ženske";"2011";185
"92 let";"Ženske";"2012";300
"92 let";"Ženske";"2013";311
"92 let";"Ženske";"2014";345
"93 let";"Moški";"2010";30
"93 let";"Moški";"2011";42
"93 let";"Moški";"2012";35
"93 let";"Moški";"2013";67
"93 let";"Moški";"2014";64
"93 let";"Ženske";"2010";112
"93 let";"Ženske";"2011";123
"93 let";"Ženske";"2012";156
"93 let";"Ženske";"2013";220
"93 let";"Ženske";"2014";262
"94 let";"Moški";"2010";28
"94 let";"Moški";"2011";35
"94 let";"Moški";"2012";37
"94 let";"Moški";"2013";33
"94 let";"Moški";"2014";51
"94 let";"Ženske";"2010";102
"94 let";"Ženske";"2011";100
"94 let";"Ženske";"2012";89
"94 let";"Ženske";"2013";134
"94 let";"Ženske";"2014";188
"95 let";"Moški";"2010";32
"95 let";"Moški";"2011";28
"95 let";"Moški";"2012";25
"95 let";"Moški";"2013";28
"95 let";"Moški";"2014";20
"95 let";"Ženske";"2010";119
"95 let";"Ženske";"2011";79
"95 let";"Ženske";"2012";91
"95 let";"Ženske";"2013";88
"95 let";"Ženske";"2014";107
"96 let";"Moški";"2010";31
"96 let";"Moški";"2011";26
"96 let";"Moški";"2012";17
"96 let";"Moški";"2013";14
"96 let";"Moški";"2014";16
"96 let";"Ženske";"2010";127
"96 let";"Ženske";"2011";104
"96 let";"Ženske";"2012";74
"96 let";"Ženske";"2013";73
"96 let";"Ženske";"2014";66
"97 let";"Moški";"2010";22
"97 let";"Moški";"2011";17
"97 let";"Moški";"2012";18
"97 let";"Moški";"2013";12
"97 let";"Moški";"2014";17
"97 let";"Ženske";"2010";96
"97 let";"Ženske";"2011";92
"97 let";"Ženske";"2012";77
"97 let";"Ženske";"2013";56
"97 let";"Ženske";"2014";59
"98 let";"Moški";"2010";7
"98 let";"Moški";"2011";23
"98 let";"Moški";"2012";24
"98 let";"Moški";"2013";11
"98 let";"Moški";"2014";4
"98 let";"Ženske";"2010";62
"98 let";"Ženske";"2011";77
"98 let";"Ženske";"2012";72
"98 let";"Ženske";"2013";75
"98 let";"Ženske";"2014";56
"99 let";"Moški";"2010";17
"99 let";"Moški";"2011";13
"99 let";"Moški";"2012";17
"99 let";"Moški";"2013";7
"99 let";"Moški";"2014";6
"99 let";"Ženske";"2010";40
"99 let";"Ženske";"2011";50
"99 let";"Ženske";"2012";51
"99 let";"Ženske";"2013";37
"99 let";"Ženske";"2014";51
"100 + let";"Moški";"2010";10
"100 + let";"Moški";"2011";9
"100 + let";"Moški";"2012";18
"100 + let";"Moški";"2013";16
"100 + let";"Moški";"2014";15
"100 + let";"Ženske";"2010";63
"100 + let";"Ženske";"2011";74
"100 + let";"Ženske";"2012";86
"100 + let";"Ženske";"2013";94
"100 + let";"Ženske";"2014";94
