"STAROST";"SPOL";"LETO";Umrli
"16 let";"Ženske";"2011";0
"16 let";"Ženske";"2012";2
"16 let";"Ženske";"2013";0
"16 let";"Ženske";"2014";1
"17 let";"Moški";"2010";3
"17 let";"Moški";"2011";4
"17 let";"Moški";"2012";3
"17 let";"Moški";"2013";5
"17 let";"Moški";"2014";3
"17 let";"Ženske";"2010";1
"17 let";"Ženske";"2011";2
"17 let";"Ženske";"2012";1
"17 let";"Ženske";"2013";1
"17 let";"Ženske";"2014";1
"18 let";"Moški";"2010";9
"18 let";"Moški";"2011";3
"18 let";"Moški";"2012";5
"18 let";"Moški";"2013";5
"18 let";"Moški";"2014";4
"18 let";"Ženske";"2010";1
"18 let";"Ženske";"2011";0
"18 let";"Ženske";"2012";2
"18 let";"Ženske";"2013";0
"18 let";"Ženske";"2014";1
"19 let";"Moški";"2010";5
"19 let";"Moški";"2011";6
"19 let";"Moški";"2012";3
"19 let";"Moški";"2013";3
"19 let";"Moški";"2014";8
"19 let";"Ženske";"2010";3
"19 let";"Ženske";"2011";3
"19 let";"Ženske";"2012";5
"19 let";"Ženske";"2013";6
"19 let";"Ženske";"2014";0
"20 let";"Moški";"2010";8
"20 let";"Moški";"2011";9
"20 let";"Moški";"2012";1
"20 let";"Moški";"2013";8
"20 let";"Moški";"2014";5
"20 let";"Ženske";"2010";2
"20 let";"Ženske";"2011";1
"20 let";"Ženske";"2012";0
"20 let";"Ženske";"2013";2
"20 let";"Ženske";"2014";1
"21 let";"Moški";"2010";7
"21 let";"Moški";"2011";4
"21 let";"Moški";"2012";10
"21 let";"Moški";"2013";7
"21 let";"Moški";"2014";3
"21 let";"Ženske";"2010";1
"21 let";"Ženske";"2011";6
"21 let";"Ženske";"2012";3
"21 let";"Ženske";"2013";3
"21 let";"Ženske";"2014";4
"22 let";"Moški";"2010";9
"22 let";"Moški";"2011";11
"22 let";"Moški";"2012";14
"22 let";"Moški";"2013";6
"22 let";"Moški";"2014";9
"22 let";"Ženske";"2010";1
"22 let";"Ženske";"2011";4
"22 let";"Ženske";"2012";3
"22 let";"Ženske";"2013";2
"22 let";"Ženske";"2014";5
"23 let";"Moški";"2010";15
"23 let";"Moški";"2011";11
"23 let";"Moški";"2012";8
"23 let";"Moški";"2013";11
"23 let";"Moški";"2014";3
"23 let";"Ženske";"2010";1
"23 let";"Ženske";"2011";2
"23 let";"Ženske";"2012";4
"23 let";"Ženske";"2013";2
"23 let";"Ženske";"2014";4
"24 let";"Moški";"2010";13
"24 let";"Moški";"2011";9
"24 let";"Moški";"2012";13
"24 let";"Moški";"2013";14
"24 let";"Moški";"2014";5
"24 let";"Ženske";"2010";3
"24 let";"Ženske";"2011";2
"24 let";"Ženske";"2012";3
"24 let";"Ženske";"2013";3
"24 let";"Ženske";"2014";3
"25 let";"Moški";"2010";8
"25 let";"Moški";"2011";7
"25 let";"Moški";"2012";5
"25 let";"Moški";"2013";9
"25 let";"Moški";"2014";10
"25 let";"Ženske";"2010";3
"25 let";"Ženske";"2011";0
"25 let";"Ženske";"2012";1
"25 let";"Ženske";"2013";2
"25 let";"Ženske";"2014";2
"26 let";"Moški";"2010";7
"26 let";"Moški";"2011";12
"26 let";"Moški";"2012";8
"26 let";"Moški";"2013";7
"26 let";"Moški";"2014";4
"26 let";"Ženske";"2010";0
"26 let";"Ženske";"2011";3
"26 let";"Ženske";"2012";1
"26 let";"Ženske";"2013";4
"26 let";"Ženske";"2014";2
"27 let";"Moški";"2010";9
"27 let";"Moški";"2011";5
"27 let";"Moški";"2012";10
"27 let";"Moški";"2013";9
"27 let";"Moški";"2014";8
"27 let";"Ženske";"2010";3
"27 let";"Ženske";"2011";4
"27 let";"Ženske";"2012";2
"27 let";"Ženske";"2013";3
"27 let";"Ženske";"2014";2
"28 let";"Moški";"2010";9
"28 let";"Moški";"2011";13
"28 let";"Moški";"2012";12
"28 let";"Moški";"2013";11
"28 let";"Moški";"2014";9
"28 let";"Ženske";"2010";1
"28 let";"Ženske";"2011";1
"28 let";"Ženske";"2012";2
"28 let";"Ženske";"2013";3
"28 let";"Ženske";"2014";0
"29 let";"Moški";"2010";17
"29 let";"Moški";"2011";7
"29 let";"Moški";"2012";15
"29 let";"Moški";"2013";19
"29 let";"Moški";"2014";6
"29 let";"Ženske";"2010";2
"29 let";"Ženske";"2011";2
"29 let";"Ženske";"2012";6
"29 let";"Ženske";"2013";2
"29 let";"Ženske";"2014";4
"30 let";"Moški";"2010";12
"30 let";"Moški";"2011";17
"30 let";"Moški";"2012";5
"30 let";"Moški";"2013";13
"30 let";"Moški";"2014";11
"30 let";"Ženske";"2010";8
"30 let";"Ženske";"2011";2
"30 let";"Ženske";"2012";2
"30 let";"Ženske";"2013";2
"30 let";"Ženske";"2014";5
"31 let";"Moški";"2010";24
"31 let";"Moški";"2011";14
"31 let";"Moški";"2012";16
"31 let";"Moški";"2013";13
"31 let";"Moški";"2014";12
"31 let";"Ženske";"2010";5
"31 let";"Ženske";"2011";3
"31 let";"Ženske";"2012";4
"31 let";"Ženske";"2013";4
"31 let";"Ženske";"2014";2
"32 let";"Moški";"2010";16
