"Prebivalstvo po: STAROST, SPOL , POLLETJE"

"0 let"
" ";"Moški"
" ";" ";"2015H2";9395
" ";"Ženske"
" ";" ";"2010H2";9397
" ";" ";"2011H2";8872
" ";" ";"2012H2";8785
" ";" ";"2013H2";8948
" ";" ";"2014H2";9052
" ";" ";"2015H2";8728
"14 let"
" ";"Moški"
" ";" ";"2010H2";9975
" ";" ";"2011H2";9914
" ";" ";"2012H2";9539
" ";" ";"2013H2";9440
" ";" ";"2014H2";9596
" ";" ";"2015H2";9476
" ";"Ženske"
" ";" ";"2010H2";9391
" ";" ";"2011H2";9404
" ";" ";"2012H2";8880
" ";" ";"2013H2";8788
" ";" ";"2014H2";8961
" ";" ";"2015H2";9083
"15 let"
" ";"Moški"
" ";" ";"2010H2";10068
" ";" ";"2011H2";9985
" ";" ";"2012H2";9953
" ";" ";"2013H2";9573
" ";" ";"2014H2";9461
" ";" ";"2015H2";9617
" ";"Ženske"
" ";" ";"2010H2";9614
" ";" ";"2011H2";9417
" ";" ";"2012H2";9429
" ";" ";"2013H2";8908
" ";" ";"2014H2";8794
" ";" ";"2015H2";8977
"16 let"
" ";"Moški"
" ";" ";"2010H2";10347
" ";" ";"2011H2";10096
" ";" ";"2012H2";10013
" ";" ";"2013H2";9960
" ";" ";"2014H2";9598
" ";" ";"2015H2";9493
" ";"Ženske"
" ";" ";"2010H2";9860
" ";" ";"2011H2";9623
" ";" ";"2012H2";9438
" ";" ";"2013H2";9448
" ";" ";"2014H2";8906
" ";" ";"2015H2";8816
"17 let"
" ";"Moški"
" ";" ";"2010H2";10659
" ";" ";"2011H2";10363
" ";" ";"2012H2";10108
" ";" ";"2013H2";10035
" ";" ";"2014H2";10019
" ";" ";"2015H2";9636
" ";"Ženske"
" ";" ";"2010H2";9963
" ";" ";"2011H2";9871
" ";" ";"2012H2";9636
" ";" ";"2013H2";9449
" ";" ";"2014H2";9475
" ";" ";"2015H2";8928
"18 let"
" ";"Moški"
" ";" ";"2010H2";10771
" ";" ";"2011H2";10676
" ";" ";"2012H2";10378
" ";" ";"2013H2";10135
" ";" ";"2014H2";10066
